title,url,description,author,scraped_at,source
Meta Is Warned That Facial Recognition Glasses Will Arm Sexual Predators,https://www.wired.com/story/meta-ray-ban-oakley-smart-glasses-no-face-recognition-civil-society/,"More than 70 organizations, including the ACLU, EPIC, and Fight for the Future, say the AI smart glasses feature would endanger abuse victims, immigrants, and LGBTQ+ people.",DELL CAMERON,2026-04-21T09:38:13.663253,Wired.com
How Citizen Surveillance Ate San Francisco,https://www.wired.com/story/san-francisco-doom-loop-citizen-surveillance/,"When a homeless man attacked a former city official, footage of the onslaught became a rallying cry. Then came another video, and another—and the story turned inside out.",LAUREN SMILEY,2026-04-21T09:38:18.077466,Wired.com
Anthropic Opposes the Extreme AI Liability Bill That OpenAI Backed,https://www.wired.com/story/anthropic-opposes-the-extreme-ai-liability-bill-that-openai-backed/,Anthropic and OpenAI are clashing over a proposed Illinois law that would let AI labs largely off the hook for mass deaths and financial disasters.,MAXWELL ZEFF,2026-04-21T09:38:21.810198,Wired.com
Security News This Week: Hackers Are Posting the Claude Code Leak With Bonus Malware,https://www.wired.com/story/security-news-this-week-hackers-are-posting-the-claude-code-leak-with-bonus-malware/,"Plus: The FBI says a recent hack of its wiretap tools poses a national security risk, attackers stole Cisco source code as part of an ongoing supply chain hacking spree, and more.","ANDY GREENBERG
DELL CAMERON
MADDY VARNER
ANDREW COUTS",2026-04-21T09:38:26.594797,Wired.com
"Uncanny Valley: Iran’s Threats on US Tech, Trump’s Plans for Midterms, and Polymarket’s Pop-up Flop",https://www.wired.com/story/uncanny-valley-podcast-iran-targets-us-tech-polymarket-pop-up-trump-midterms/,"In this episode, we discuss Iran’s threats to target US tech firms, gear up for the midterm elections, and get a scene report from the Polymarket pop-up bar in DC.","BRIAN BARRETT
ZOË SCHIFFER
LEAH FEIGER
MAKENA KELLY
KATE KNIBBS",2026-04-21T09:38:31.097988,Wired.com
The Best Kitchen Composters and Food Recyclers,https://www.wired.com/story/home-composters-buying-guide/,"Responsibly dispose of your food scraps with one of these indoor, (mostly) odor-free, WIRED-tested devices.",KAT MERCK,2026-04-21T09:38:35.108811,Wired.com
Anthropic Teams Up With Its Rivals to Keep AI From Hacking Everything,https://www.wired.com/story/anthropic-mythos-preview-project-glasswing/,"The AI lab's Project Glasswing will bring together Apple, Google, and more than 45 other organizations. They'll use the new Claude Mythos Preview model to test advancing AI cybersecurity capabilities.",LILY HAY NEWMAN,2026-04-21T09:38:39.139329,Wired.com
Where to Find the Energy to Save the World,https://www.wired.com/story/where-to-find-the-energy-to-save-the-world-geothermal-texas/,"Jamie Beard is pouring everything into a singular vision: Tap into the awesome potential of geothermal power in Texas, and beyond. She has no time to lose.",MARIA STRESHINSKY,2026-04-21T09:38:43.400656,Wired.com
The IRS Wants Smarter Audits. Palantir Could Help Decide Who Gets Flagged,https://www.wired.com/story/documents-reveal-palantir-irs-contract-fraud-clean-energy-credits/,Documents show the tax agency is testing a Palantir tool to surface “highest-value” audit and investigation targets from a maze of legacy systems.,CAROLINE HASKINS,2026-04-21T09:38:47.135706,Wired.com
How the Internet Broke Everyone’s Bullshit Detectors,https://www.wired.com/story/how-the-internet-broke-everyones-bullshit-detectors/,"From AI-generated images to restricted satellite data, the systems used to verify what’s real online are struggling to keep up.",GIA CHAUDRY,2026-04-21T09:38:51.062738,Wired.com
The 8 Best Movies to Stream This Month,https://www.wired.com/story/the-best-movies-to-stream-right-now/,"’28 Years Later: The Bone Temple,’ ‘Crime 101,’ and ‘Deathstalker’ are among the films deserving of your eyeballs this month",MATT KAMEN,2026-04-21T09:38:55.242675,Wired.com
Anthropic Says That Claude Contains Its Own Kind of Emotions,https://www.wired.com/story/anthropic-claude-research-functional-emotions/,Researchers at the company found representations inside of Claude that perform functions similar to human feelings.,WILL KNIGHT,2026-04-21T09:38:59.263678,Wired.com
The Best Meta Glasses for Looking Hot and Invading Everyone's Privacy,https://www.wired.com/story/best-meta-glasses/,Meta is unquestionably winning the face-wearable war. Can you trust the company? Maybe not. But these are some of the nicest glasses I've ever worn.,ADRIENNE SO,2026-04-21T09:39:03.531298,Wired.com
OpenAI Executive Kevin Weil Is Leaving the Company,https://www.wired.com/story/openai-executive-kevin-weil-is-leaving-the-company/,"The former Instagram VP is departing the ChatGPT-maker, which is folding the AI science application he led into Codex.",MAXWELL ZEFF,2026-04-21T09:39:07.273847,Wired.com
Crypto Magnate Do Kwon Sentenced to 15 Years in Prison,https://www.wired.com/story/do-kwon-terraform-sentenced-prison-crypto-fraud/,The founder of Terraform Labs was sentenced today for lying about “experimental” coins that blew a $40 billion hole in the crypto economy.,"JOEL KHALILI
CAROLINE HASKINS",2026-04-21T09:39:11.680313,Wired.com
"Livestream Replay: The Hype, Reality, and Future of EVs",https://www.wired.com/story/livestream-the-hype-reality-and-future-of-electric-vehicles/,Join a panel of WIRED experts for a livestream AMA about the future of the electric vehicle industry.,"AARIAN MARSHALL
JEREMY WHITE",2026-04-21T09:39:16.087623,Wired.com
Anthropic Supply-Chain-Risk Designation Halted by Judge,https://www.wired.com/story/anthropic-supply-chain-risk-designation-injunction/,"A judge temporarily blocked the Trump administration’s designation, clearing the way for Anthropic to keep doing business without the label starting next week.",PARESH DAVE,2026-04-21T09:39:20.176295,Wired.com
MAGA Indians Went All In on Trump. Many Right-Wingers Can’t Stand Them,https://www.wired.com/story/maga-indians-went-all-in-on-trump/,"South Asians are a powerful, visible minority in the Trump administration. They’re also facing a racist backlash, fueled in part by the white nationalist Groyper movement.",ASHWIN RODRIGUES,2026-04-21T09:39:24.263543,Wired.com
Telegram Is Still Hosting a Sanctioned $21 Billion Crypto Scammer Black Market,https://www.wired.com/story/telegram-is-still-hosting-a-sanctioned-21-billion-crypto-scammer-black-market/,The UK designated Xinbi Guarantee as an enabler of crypto scammers and human trafficking weeks ago. Telegram is still hosting it in plain sight.,ANDY GREENBERG,2026-04-21T09:39:27.947558,Wired.com
